0 1:0 2:0 3:3.05652 4:0 5:0 6:0 7:1.9799 8:9.593 9:0 10:0 11:0 12:7.74654 13:4.07775 14:0 15:0 16:0 17:8.13284 18:6.10772 19:0 20:0 21:0 22:0 23:6.83941 24:0 25:0
0 1:0 2:0 3:6.94764 4:11.7871 5:0 6:0 7:0 8:7.51085 9:11.779 10:0 11:0 12:1.76777 13:2.82894 14:5 15:0 16:0 17:2.97826 18:6.25704 19:9.18002 20:0 21:0 22:3.03044 23:3.02113 24:0 25:0
0 1:0 2:0 3:9.64506 4:11.8762 5:14.9421 6:0 7:4.77341 8:7.27066 9:9.0286 10:0 11:2.71314 12:7.09554 13:1.81236 14:6.0523 15:8.9992 16:12.5903 17:9.62352 18:5.60861 19:7.37393 20:0 21:6.51116 22:12.3498 23:7.77587 24:3.82911 25:0
0 1:0 2:0 3:9.81965 4:12.7404 5:0 6:0 7:5.96458 8:6.72112 9:8.69565 10:0 11:0 12:6.06125 13:2.21234 14:5.69804 15:0 16:0 17:5.4822 18:5.0859 19:5.28905 20:0 21:0 22:1.09601 23:8.6975 24:0 25:0
0 1:0 2:0 3:1.02705 4:0 5:0 6:0 7:0 8:7.3005 9:0 10:0 11:0 12:2.53859 13:3.19954 14:4.42959 15:0 16:0 17:1.51859 18:5.17737 19:7.34798 20:0 21:0 22:0 23:1.86312 24:0 25:0
0 1:0 2:0 3:6.23917 4:11.8006 5:0 6:0 7:0 8:6.67205 9:12.1045 10:0 11:0 12:3.1032 13:2.72313 14:4.38297 15:0 16:0 17:8.03391 18:6.04764 19:7.49384 20:0 21:0 22:4.87588 23:7.33804 24:0 25:0
0 1:0 2:0 3:8.90945 4:12.4844 5:0 6:0 7:0 8:7.06397 9:8.17175 10:0 11:0 12:4.76335 13:2.56507 14:4.30515 15:0 16:0 17:7.33093 18:5.76224 19:8.15297 20:0 21:0 22:0 23:9.15128 24:12.9232 25:0
0 1:0 2:0 3:6.38586 4:9.14568 5:0 6:0 7:0 8:6.05132 9:8.56949 10:0 11:0 12:2.33997 13:2.35239 14:4.15352 15:0 16:0 17:7.89759 18:5.71265 19:8.07412 20:0 21:0 22:10.2611 23:10.0683 24:18.8178 25:0
0 1:0 2:0 3:5.2643 4:0 5:0 6:0 7:0 8:7.95804 9:10.4382 10:0 11:0 12:4.54471 13:3.19529 14:6.06777 15:0 16:0 17:6.77911 18:5.40796 19:0 20:0 21:0 22:0 23:4.42967 24:0 25:0
0 1:0 2:0 3:1.64643 4:0 5:0 6:0 7:0 8:8.05903 9:9.83104 10:0 11:0 12:0 13:3.2263 14:5.04195 15:0 16:0 17:2.12603 18:6.97362 19:8.12811 20:0 21:0 22:0 23:7.88231 24:0 25:0
0 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:9.25607 9:9.40643 10:0 11:0 12:7.44794 13:3.78971 14:4.77166 15:0 16:0 17:5.17683 18:7.4818 19:0 20:0 21:0 22:0 23:2.66135 24:0 25:0
0 1:0 2:0 3:14.779 4:15.9258 5:0 6:0 7:0 8:10.7418 9:0 10:0 11:0 12:3.5 13:3.36666 14:0 15:0 16:0 17:9.58788 18:8.06922 19:0 20:0 21:0 22:0 23:0 24:0 25:0
0 1:0 2:0 3:0 4:12.5704 5:0 6:0 7:0 8:8.20557 9:14.0999 10:0 11:0 12:0 13:2.59781 14:4.01733 15:0 16:0 17:10.6227 18:7.13137 19:7.11346 20:0 21:0 22:13.799 23:11.6043 24:0 25:0
0 1:0 2:0 3:8.81635 4:17.167 5:0 6:0 7:5.66319 8:7.83636 9:10.7619 10:0 11:0 12:6.43055 13:2.71805 14:0 15:0 16:0 17:5.91304 18:6.86957 19:0 20:0 21:0 22:7.43802 23:11.2516 24:0 25:0
0 1:0 2:0 3:10.0839 4:11.4781 5:0 6:0 7:0 8:8.05462 9:10.7306 10:0 11:0 12:0 13:2.71096 14:4.50738 15:0 16:0 17:5.21196 18:5.29808 19:8.37606 20:0 21:0 22:0 23:0.838537 24:10.0281 25:0
0 1:0 2:0 3:4.20434 4:0 5:0 6:0 7:0 8:7.07287 9:11.6944 10:0 11:0 12:6.00241 13:3.20789 14:7.2111 15:0 16:0 17:6.89188 18:5.83968 19:0 20:0 21:0 22:0 23:5.99495 24:0 25:0
